index,HR,HR_std,SDNN,LF,HF,LF/HF,arrive,F,S
0,71.27856017,22.36593313,338.0432729,41.6603199,58.3396801,0.714099217,0,1,1
1,70.31573435,18.82467431,293.5503542,20.14933693,79.85066307,0.252337753,0,1,1
2,72.50137288,20.11385035,301.7027354,23.0190141,76.9809859,0.299022075,0,1,1
3,71.02932792,19.868301,346.3953715,28.15081639,71.84918361,0.391804262,0,1,1
4,66.6245623,18.8229663,345.5784821,31.43449235,68.56550765,0.458459267,0,1,1
5,68.18882945,17.68373036,282.1917574,38.13013494,61.86986506,0.616295751,0,1,1
0,70.70899038,21.92494635,380.9884042,25.42339032,74.57660968,0.340903005,0,2,1
1,69.96574828,21.68912628,344.924284,26.42940765,73.57059235,0.35923875,0,2,1
2,65.99335068,18.07556321,280.5185515,19.4946752,80.5053248,0.242153861,0,2,1
3,70.49066011,17.63043362,278.5593808,23.47839149,76.52160851,0.306820412,0,2,2
4,69.1233672,17.68742695,262.6866986,10.50941459,89.49058541,0.11743598,0,2,2
5,69.12702843,18.6219175,332.0307793,41.3770675,58.6229325,0.705817088,0,2,2
0,69.68519324,19.96846706,303.1337283,21.8115905,78.1884095,0.278961941,0,3,2
1,73.22417246,20.47396337,323.6455968,47.57936695,52.42063305,0.907645791,0,3,2
2,68.38305264,18.02531205,273.9078521,23.88991659,76.11008341,0.313886354,0,3,2
3,68.6943127,15.71423301,234.1952241,18.17916172,81.82083828,0.222182541,0,3,3
4,65.46564465,17.1656333,316.4315406,11.67037714,88.32962286,0.132123027,0,3,3
5,73.39720146,21.51061557,288.7600606,20.40388596,79.59611404,0.25634274,0,3,3
0,70.78987029,19.64161602,291.1673155,37.25906421,62.74093579,0.59385573,0,3,3
1,70.51576477,13.65596461,237.562413,26.49176416,73.50823584,0.360391783,0,2,2
2,72.02259632,12.70521135,174.8291321,29.32521571,70.67478429,0.414931804,0,3,3
3,69.12144696,19.09761969,328.5336084,42.08983918,57.91016082,0.72681268,0,1,3
4,68.92193916,18.74070194,287.4123749,39.48290253,60.51709747,0.652425582,0,2,2
5,69.14607877,14.81887869,193.5535768,20.93226229,79.06773771,0.264738348,0,3,1
0,69.73735509,18.04689316,286.9875028,30.28938084,69.71061916,0.434501676,0,1,1
1,72.12063458,14.41915898,209.8830521,36.10414695,63.89585305,0.565046795,0,2,2
2,71.19000173,15.30288803,199.2756235,31.88180497,68.11819503,0.46803655,0,3,3
3,72.35336296,14.24181802,175.9614342,11.97430552,88.02569448,0.136031935,0,1,3
4,70.30829651,14.52694293,210.9591418,17.66402024,82.33597976,0.21453586,0,2,2
5,71.86775795,16.80331825,256.7221195,33.93641762,66.06358238,0.513693269,0,3,1
0,71.14242144,16.28623183,213.7363363,14.21754147,85.78245853,0.165739496,0,1,1
1,70.13131757,15.62759423,206.7649765,9.266918251,90.73308175,0.102133842,0,2,2
2,69.57409858,14.32499296,192.5227931,5.710068151,94.28993185,0.06055862,0,3,3
3,72.23794421,15.94810921,200.8919083,11.79290672,88.20709328,0.133695673,0,1,3
4,68.90480518,15.58448382,249.8736301,11.04566269,88.95433731,0.124172278,0,2,2
5,68.81803193,16.75690816,282.5124144,27.88455947,72.11544053,0.386665591,0,3,1
0,72.80227907,19.11652902,258.1144233,20.47442538,79.52557462,0.25745712,0,1,1
1,70.4302234,20.80547084,284.3067888,27.9754109,72.0245891,0.388414724,0,2,2
2,69.74228962,19.70719398,290.7326866,40.48199476,59.51800524,0.680163836,0,3,3
3,67.76666699,16.123215,265.3865235,24.1859515,75.8140485,0.319016752,0,1,3
4,70.25113368,16.55960405,250.8244957,22.47846369,77.52153631,0.289964115,0,2,2
5,71.63025964,19.96194086,312.5569133,37.28069472,62.71930528,0.594405416,0,3,1
0,72.82801174,19.80045017,258.8605255,32.15532874,67.84467126,0.473955112,0,1,1
1,73.03826717,20.55398342,297.4836997,22.77460449,77.22539551,0.294910817,0,2,2
2,72.87421877,20.71041559,311.4585033,35.82817558,64.17182442,0.5583163,0,3,3
3,72.71106156,18.59576188,279.4525798,36.63539714,63.36460286,0.578168181,0,1,3
4,71.81872566,18.32502364,273.056337,37.22355006,62.77644994,0.592954047,0,2,2
5,69.42061313,17.20880373,271.2282653,36.15500095,63.84499905,0.56629339,0,3,1
0,72.14082377,18.15304715,250.606195,38.98193173,61.01806827,0.63885883,0,1,1
